,pred
0,156597.0084375
1,120353.42078125
2,135155.00328125
3,127022.95828125
4,245080.5628125
5,346404.26328125
6,124882.961796875
7,196073.766328125
8,117603.45609375
9,236801.03609375
10,173068.8590625
11,227524.41203125
12,277196.5709375
13,136914.187578125
14,137198.951875
15,295399.15390625
16,184148.634375
17,282115.984765625
18,199716.297890625
19,349211.54125
20,346151.889453125
21,184311.02921875
22,284103.173984375
23,134658.698125
24,206401.55984375
25,310276.52484375
26,176321.444609375
27,148982.28015625
28,316580.9778125
29,182678.7778125
30,124729.25359375
31,248065.10625
32,285482.95015625
33,226244.90125
34,112739.069296875
35,266880.88796875
36,251915.580234375
37,151161.316875
38,219471.04671875
39,167643.63875
40,241293.47359375
41,266215.63421875
42,162871.93984375
43,191614.860859375
44,169185.868359375
45,126471.035078125
46,225842.73609375
47,207291.901796875
48,136243.227578125
49,232641.940625
50,153083.16390625
51,203245.085625
52,130255.8196875
53,131248.036171875
54,268730.851875
55,309233.27859375
56,318197.366171875
57,175611.588359375
58,142551.12703125
59,134396.456484375
60,318958.87
61,273774.5853125
62,173153.86390625
63,219113.207421875
64,302921.680625
65,128551.2221875
66,222892.54015625
67,192887.9221875
68,180247.6128125
69,238395.8290625
70,160665.4509375
71,126337.286328125
72,214419.25765625
73,281622.81921875
74,214604.4121875
75,169555.930859375
76,279849.01015625
77,262185.611875
78,153264.852734375
79,267441.582109375
80,150995.233515625
81,183006.780546875
82,194714.31984375
83,115520.53609375
84,344921.8353125
85,313781.784765625
86,175628.976875
87,249467.308984375
88,448397.9509375
89,116791.5475
90,166607.403203125
91,201470.57984375
92,206046.357265625
93,143501.653203125
94,179626.527421875
95,210268.758828125
96,199688.01546875
97,264083.330546875
98,221428.8409375
99,380372.433984375
100,185135.2678125
101,352249.4878125
102,194798.00875
103,166029.5234375
104,236404.3246875
105,203337.86546875
106,303337.269140625
107,153886.74703125
108,172971.145625
109,136065.306171875
110,263564.63515625
111,189432.16203125
112,184602.8215625
113,169969.059296875
114,176156.564609375
115,127715.110078125
116,243811.74671875
117,320022.794140625
118,353867.70015625
119,379305.981875
120,240159.759765625
121,280336.1634375
122,205312.096875
123,184426.349296875
124,200683.016484375
125,215998.061875
126,246670.28796875
127,272125.47015625
128,209670.373515625
129,185371.741953125
130,244858.12453125
131,379318.361640625
132,197179.80671875
133,219464.7565625
134,186289.613046875
135,194949.354375
136,137979.128828125
137,167864.33421875
138,194579.6626953125
139,163728.52671875
140,246312.77984375
141,284365.50671875
142,182581.123515625
143,196995.181875
144,205531.54453125
145,215503.423359375
146,134734.292265625
147,127319.923046875
148,130453.02375
149,197403.099140625
150,247823.160234375
151,388565.946796875
152,260233.902421875
153,251950.092421875
154,97710.821953125
155,152748.5690625
156,292225.650078125
157,230175.99765625
158,181666.38265625
159,219597.5884375
160,119323.62625
161,236932.08109375
162,172959.521171875
163,181189.85875
164,315425.073984375
165,171334.734375
166,172319.0359375
167,154957.513046875
168,249009.531875
169,295614.3078125
170,218780.7415625
171,212711.327265625
172,123684.442734375
173,164465.528125
174,149723.354765625
175,146724.46203125
176,201163.36265625
177,168057.05203125
178,268527.4840625
179,130587.12140625
180,198229.711796875
181,124817.94390625
182,167314.0371875
183,162319.068984375
184,260307.050390625
185,223526.974453125
186,197262.37265625
187,259599.5128125
188,133813.72765625
189,199712.07390625
190,210054.27875
191,233322.910859375
192,196014.179453125
193,202641.755546875
194,134535.83109375
195,258294.395859375
196,116603.910390625
197,207665.60046875
198,276268.3271875
199,168152.584375
200,218867.677734375
201,175993.2690625
202,167252.83859375
203,288370.203359375
204,246759.62421875
205,66629.9724609375
206,170844.20703125
207,197470.3959375
208,198060.48984375
209,182784.8059375
210,285967.0584375
211,254321.364140625
212,256488.53890625
213,105319.523125
214,272090.71375
215,154361.462265625
216,226574.25234375
217,259337.513125
218,192989.9878125
219,234887.316796875
220,310893.83359375
221,367748.54546875
222,174476.50875
223,114671.212734375
224,230114.63046875
225,236379.28984375
226,154423.585390625
227,68092.7985546875
228,169305.332578125
229,166670.92265625
230,131086.979296875
231,257889.96828125
232,276503.10046875
233,249012.3525
234,145572.51125
235,148812.874375
236,232656.6846875
237,178831.063359375
238,172377.11671875
239,232494.9809375
240,134261.430625
241,367959.663046875
242,222962.0715625
243,245386.04515625
244,170552.01234375
245,414427.786796875
246,124363.9653125
247,111016.755625
248,147220.738515625
249,301236.9678125
250,181304.7926953125
251,162615.996640625
252,284669.248125
253,155789.153046875
254,218451.1262890625
255,223411.96203125
256,142865.293125
257,72174.2065625
258,325507.51625
259,125584.651953125
260,173860.505
261,172645.315546875
262,185954.9384375
263,342853.507421875
264,161584.07640625
265,229603.74671875
266,243225.15078125
267,163704.435703125
268,261968.34
269,121351.607265625
270,211141.6778125
271,270165.588359375
272,251922.5809375
273,245635.768671875
274,123430.9725
275,204614.275546875
276,120484.3984375
277,259447.491953125
278,144213.5584375
279,158916.25921875
280,151169.1084375
281,161496.155859375
282,186787.2210546875
283,259428.667421875
284,199760.5390625
285,163480.27453125
286,194949.54125
287,151285.964375
288,214273.7284375
289,203953.212421875
290,216212.610859375
291,211743.053515625
292,234082.908203125
293,151339.97109375
294,450866.9140625
295,318856.49359375
296,229041.02671875
297,122150.06640625
298,233952.678359375
299,88644.70875
300,162607.67890625
301,177774.743125
302,209730.298359375
303,108426.300078125
304,177683.971796875
305,186322.885390625
306,153285.122734375
307,136074.777734375
308,193867.789921875
309,210624.22390625
310,242085.680234375
311,305360.63
312,491439.233671875
313,218191.974765625
314,119682.1253125
315,183141.479375
316,244307.2834375
317,136499.278359375
318,134506.9140625
319,119312.642265625
320,150452.573671875
321,122086.497578125
322,123952.235859375
323,174929.995703125
324,167961.340703125
325,229790.27359375
326,235002.00546875
327,191494.605
328,147603.066796875
329,144952.664453125
330,118139.92265625
331,162909.06921875
332,216367.57859375
333,111710.013515625
334,295042.841796875
335,179666.32265625
336,139666.01359375
337,136023.999921875
338,244947.4325
339,115547.77234375
340,284087.488359375
341,178703.40765625
342,232010.47328125
343,261448.423125
344,210886.115390625
345,154751.9353125
346,265651.94015625
347,259777.797421875
348,189592.182421875
349,109074.221875
350,375330.052890625
351,162616.67578125
352,139730.02609375
353,138891.058046875
354,169982.5896875
355,425532.145859375
356,125572.08859375
357,291090.72859375
358,184085.425859375
359,347490.07125
360,201333.308046875
361,243497.476875
362,124613.665078125
363,216770.62734375
364,183989.709296875
365,129935.53453125
366,153395.1984375
367,212249.462578125
368,93895.52390625
369,363849.09984375
370,204281.262421875
371,294370.95578125
372,352111.26328125
373,232890.584296875
374,330543.75171875
375,216560.907265625
376,116455.276484375
377,187184.442890625
378,232950.55546875
379,215077.764375
380,235436.329921875
381,322694.62
382,177271.544921875
383,226778.77640625
384,226789.7183203125
385,201393.565546875
386,256364.6834375
387,147267.2790625
388,149658.876875
389,181924.17328125
390,267666.62109375
391,317416.096640625
392,258309.384609375
393,131586.74296875
394,151055.703125
395,269106.0471875
396,150981.465625
397,186672.918671875
398,223541.67546875
399,161963.06140625
400,148871.693203125
401,171826.657890625
402,232899.0509375
403,215171.34359375
404,297205.33328125
405,180648.11140625
406,305326.220546875
407,200017.04703125
408,176498.60984375
409,174992.56015625
410,183855.14234375
411,198967.02171875
412,411131.64421875
413,222286.998046875
414,220489.34453125
415,124726.314609375
416,184229.43421875
417,254474.588828125
418,140196.95625
419,129926.853359375
420,172169.56953125
421,210031.52265625
422,145647.784609375
423,411116.4440625
424,354663.472890625
425,351824.157578125
426,191680.845625
427,177284.570859375
428,171572.5159375
429,168400.905546875
430,259090.0278125
431,285457.08390625
432,162555.213671875
433,269547.416875
434,122246.10078125
435,128955.778203125
436,266519.732578125
437,156214.782109375
438,162925.789375
439,270444.44140625
440,256004.707890625
441,139862.71640625
442,398126.8503125
443,293041.72625
444,253444.812578125
445,139580.1253125
446,135071.2665625
447,127215.90359375
448,131509.789921875
449,124417.95765625
450,117846.61375
451,164140.20984375
452,331366.238046875
453,142175.541015625
454,116133.1746875
455,199061.72
456,202940.697578125
457,150539.354296875
458,124510.964140625
459,173724.679375
460,181642.53640625
461,165610.85765625
462,204030.713125
463,256215.690625
464,144632.441796875
465,260274.04890625
466,189313.0546875
467,275310.7834375
468,89461.1539453125
469,258228.231640625
470,311752.1975
471,294341.177265625
472,231260.0198828125
473,196487.8005859375
474,150623.581328125
475,241869.150234375
476,163474.059921875
477,157623.83390625
478,189578.60671875
479,147222.88078125
480,212095.81453125
481,151970.491640625
482,158021.746328125
483,287424.32890625
484,88924.0353125
485,182508.60328125
486,240331.56703125
487,231651.8104296875
488,173491.3815625
489,233412.10546875
490,71063.3170703125
491,127484.10015625
492,126682.521015625
493,149193.429375
494,134799.733671875
495,292020.76796875
496,116702.750546875
497,184742.274140625
498,221473.092265625
499,116685.60609375
500,267180.426328125
501,285552.24046875
502,178833.427265625
503,213638.396875
504,172218.610546875
505,305258.406796875
506,269226.9501953125
507,176614.4721875
508,177929.07671875
509,221588.499375
510,397715.8453125
511,224905.790078125
512,236550.42578125
513,258105.639609375
514,68787.0615234375
515,278151.631640625
516,331300.180390625
517,226043.00109375
518,243865.284765625
519,296363.01234375
520,203522.58453125
521,261647.325625
522,307993.7125
523,148584.86765625
524,168907.71859375
525,255942.42015625
526,215267.212578125
527,265467.28953125
528,227740.3175
529,172865.203046875
530,193884.082109375
531,288303.395703125
532,159019.1721875
533,338269.338125
534,154370.527265625
535,84563.476171875
536,197789.689140625
537,193056.73328125
538,158466.5890625
539,150571.74203125
540,169265.312734375
541,277966.553671875
542,230168.99046875
543,166268.93765625
544,145281.377109375
545,112150.494609375
546,125644.15359375
547,261487.52703125
548,181219.93109375
549,172671.88546875
550,226719.211953125
551,171041.785703125
552,145823.923125
553,131179.71484375
554,166054.0315625
555,126016.15171875
556,153928.1621875
557,167771.098125
558,218814.46484375
559,84738.51625
560,349175.70484375
561,165379.629296875
562,283636.53796875
563,140541.82515625
564,154830.942109375
565,263551.552890625
566,383445.3121875
567,152544.3865625
568,140535.8040625
569,206290.20015625
570,310540.114375
571,152947.959609375
572,107662.221640625
573,220733.26109375
574,245654.388515625
575,411163.57125
576,172006.6675
577,319238.341484375
578,179117.568515625
579,127343.83609375
580,249513.56578125
581,234686.739765625
582,382776.47234375
583,374055.9203125
584,347982.85515625
585,258353.09765625
586,174312.655
587,493903.21453125
588,186589.333671875
589,343075.1021875
590,194011.6365625
591,157931.514765625
592,219188.982265625
593,323929.95734375
594,284695.641640625
595,189037.166953125
596,182810.078203125
597,241210.2659375
598,123334.442734375
599,289429.702578125
600,179457.26875
601,246945.090625
602,161289.87453125
603,220500.471171875
604,217331.8342578125
605,205686.8325
606,165685.30375
607,186715.42796875
608,196615.866015625
609,155850.290234375
610,221676.30546875
611,227142.6953125
612,151477.729140625
613,298752.206171875
614,465389.85375
615,170864.53328125
616,200391.233828125
617,226503.856640625
618,152974.5124609375
619,118823.576171875
620,303663.81703125
621,156659.76375
622,226218.6044140625
623,175411.71
624,244871.7112890625
625,151375.21953125
626,172071.905
627,210680.2053125
628,238697.52359375
629,204366.334140625
630,214058.61328125
631,166689.5403125
632,258103.86953125
633,195984.940234375
634,176060.82625
635,219172.3314453125
636,128614.059296875
637,258896.539453125
638,192908.73703125
639,291343.0225
640,192258.6615625
641,171249.058828125
642,144063.4040625
643,208822.789140625
644,488455.390625
645,212541.7340625
646,300410.638203125
647,155916.072578125
648,299767.409375
649,298050.62765625
650,224135.12921875
651,252186.809609375
652,208375.59484375
653,185044.1490625
654,283902.347265625
655,222608.98625
656,145216.572109375
657,256936.580390625
658,307005.0825
659,357565.47015625
660,217399.79265625
661,258939.0434375
662,289338.51203125
663,165703.030234375
664,133047.405
665,148362.6154296875
666,166688.101875
667,189641.803828125
668,262140.2646875
669,82799.016171875
670,130501.540390625
671,415024.3975
672,256213.329765625
673,231640.468359375
674,130548.133359375
675,250440.68421875
676,301404.10328125
677,155792.600546875
678,81929.703359375
679,316588.8128125
680,247182.095234375
681,178791.00671875
682,158638.550390625
683,213329.10171875
684,313187.88390625
685,275896.800078125
686,258059.465390625
687,281604.7578125
688,240921.7981640625
689,144776.82171875
690,222726.8006640625
691,216123.329375
692,144875.61359375
693,293636.0625
694,173907.12421875
695,151868.4115625
696,236465.61015625
697,122549.811171875
698,149732.7159375
699,128396.635859375
700,275782.647578125
701,221748.9171875
702,201627.32234375
703,497395.63703125
704,168889.176875
705,363400.483046875
706,218074.324375
707,221615.59421875
708,333005.7196875
709,135311.97
710,378192.3184375
711,220399.357109375
712,147604.5021875
713,251576.0309375
714,114267.7028125
715,405439.41046875
716,317973.6001171875
717,171136.607109375
718,166622.884765625
719,228704.627734375
720,364075.579609375
721,235407.85953125
722,150482.35625
723,298408.56078125
724,139607.24046875
725,184166.416875
726,222316.5496875
727,280956.19796875
728,338506.9971875
729,147761.9534375
730,174095.665234375
731,114937.535390625
732,196713.34265625
733,193985.762265625
734,220187.2875
735,152913.27421875
736,163677.23921875
737,149113.952109375
738,312739.8175
739,135599.21078125
740,143068.188046875
741,239635.675
742,115216.3303125
743,130921.123671875
744,231920.568203125
745,124763.356640625
746,166016.978125
747,186047.713828125
748,117735.776640625
749,155072.83453125
750,124876.326796875
751,271568.013984375
752,129254.67734375
753,149739.270703125
754,258543.45203125
755,200810.538203125
756,269129.137265625
757,130029.9453125
758,143127.465078125
759,210808.46203125
760,261402.047265625
761,253135.516171875
762,119963.319765625
763,150547.8440625
764,242805.835078125
765,154721.3578125
766,183051.36265625
767,231738.777890625
768,195441.836328125
769,247650.856875
770,370325.054375
771,313719.3659375
772,157266.409765625
773,162552.000625
774,362329.14078125
775,153105.8871875
776,322050.654921875
777,478129.0734375
778,168762.784296875
779,173940.047578125
780,160887.56234375
781,141961.9359375
782,233209.23375
783,210727.295546875
784,150914.4475
785,212800.890859375
786,196544.7128125
